2025-01-01 20:46:22 - Model: SimpleCNN_11_UE
2025-01-01 20:46:22 - Learning rate: 0.001
2025-01-01 20:46:22 - Number of epochs: 64
2025-01-01 20:46:22 - Train batch size: 64
2025-01-01 20:46:22 - Test batch size: 64
2025-01-01 20:46:22 - Federated learning epochs: 30
2025-01-01 20:46:22 - Number of clients: 10
2025-01-01 20:46:27 - Before train, fl0Client4 gNB_test Accuracy  8.41 %
2025-01-01 20:46:27 - Before train, fl0Client4 client_test Accuracy  8.3 %
2025-01-01 20:46:28 - running Epoch:0, fl78Client4,avg_loss is 2.2284754771220534
2025-01-01 20:46:29 - running Epoch:1, fl78Client4,avg_loss is 2.0849609903142423
2025-01-01 20:46:30 - running Epoch:2, fl78Client4,avg_loss is 1.9770320382299302
2025-01-01 20:46:31 - running Epoch:3, fl78Client4,avg_loss is 1.9036676808248592
2025-01-01 20:46:31 - running Epoch:4, fl78Client4,avg_loss is 1.8340353316898588
2025-01-01 20:46:32 - running Epoch:5, fl78Client4,avg_loss is 1.783924691284759
2025-01-01 20:46:33 - running Epoch:6, fl78Client4,avg_loss is 1.7343964335284656
2025-01-01 20:46:34 - running Epoch:7, fl78Client4,avg_loss is 1.694204798227624
2025-01-01 20:46:35 - running Epoch:8, fl78Client4,avg_loss is 1.656385154663762
2025-01-01 20:46:35 - running Epoch:9, fl78Client4,avg_loss is 1.6284030404271959
2025-01-01 20:46:36 - running Epoch:10, fl78Client4,avg_loss is 1.5946228021307836
2025-01-01 20:46:37 - running Epoch:11, fl78Client4,avg_loss is 1.5699308310882956
2025-01-01 20:46:38 - running Epoch:12, fl78Client4,avg_loss is 1.5439314978032173
2025-01-01 20:46:39 - running Epoch:13, fl78Client4,avg_loss is 1.5272248228894005
2025-01-01 20:46:40 - running Epoch:14, fl78Client4,avg_loss is 1.50495037247863
2025-01-01 20:46:41 - running Epoch:15, fl78Client4,avg_loss is 1.4808717196500754
2025-01-01 20:46:42 - running Epoch:16, fl78Client4,avg_loss is 1.4717260780213755
2025-01-01 20:46:43 - running Epoch:17, fl78Client4,avg_loss is 1.4547503854655013
2025-01-01 20:46:44 - running Epoch:18, fl78Client4,avg_loss is 1.4366657417031783
2025-01-01 20:46:44 - running Epoch:19, fl78Client4,avg_loss is 1.4187021029146412
2025-01-01 20:46:44 - Tweak done
2025-01-01 20:46:45 - running Epoch:20, fl78Client4,avg_loss is 2.034120684937586
2025-01-01 20:46:46 - running Epoch:21, fl78Client4,avg_loss is 1.5093232966676544
2025-01-01 20:46:47 - running Epoch:22, fl78Client4,avg_loss is 1.4276864460751981
2025-01-01 20:46:48 - running Epoch:23, fl78Client4,avg_loss is 1.3709555849244324
2025-01-01 20:46:49 - running Epoch:24, fl78Client4,avg_loss is 1.3141093586064592
2025-01-01 20:46:50 - running Epoch:25, fl78Client4,avg_loss is 1.194842253304735
2025-01-01 20:46:51 - running Epoch:26, fl78Client4,avg_loss is 1.1703347827814803
2025-01-01 20:46:52 - running Epoch:27, fl78Client4,avg_loss is 1.0467614026009282
2025-01-01 20:46:53 - running Epoch:28, fl78Client4,avg_loss is 0.985672725906855
2025-01-01 20:46:54 - running Epoch:29, fl78Client4,avg_loss is 0.9548227206061158
2025-01-01 20:46:55 - running Epoch:30, fl78Client4,avg_loss is 0.9078906978232951
2025-01-01 20:46:56 - running Epoch:31, fl78Client4,avg_loss is 0.8357640361484093
2025-01-01 20:46:57 - running Epoch:32, fl78Client4,avg_loss is 0.7345122725148744
2025-01-01 20:46:58 - running Epoch:33, fl78Client4,avg_loss is 0.7606730095193356
2025-01-01 20:46:59 - running Epoch:34, fl78Client4,avg_loss is 0.6444472602651089
2025-01-01 20:47:00 - running Epoch:35, fl78Client4,avg_loss is 0.5702732307246968
2025-01-01 20:47:01 - running Epoch:36, fl78Client4,avg_loss is 0.5195795161814629
2025-01-01 20:47:02 - running Epoch:37, fl78Client4,avg_loss is 0.4843305311625517
2025-01-01 20:47:03 - running Epoch:38, fl78Client4,avg_loss is 0.3906931301838235
2025-01-01 20:47:04 - running Epoch:39, fl78Client4,avg_loss is 0.36573305047011073
2025-01-01 20:47:05 - running Epoch:40, fl78Client4,avg_loss is 0.3308279570899432
2025-01-01 20:47:06 - running Epoch:41, fl78Client4,avg_loss is 0.3872672438244276
2025-01-01 20:47:07 - running Epoch:42, fl78Client4,avg_loss is 0.2767787096621115
2025-01-01 20:47:08 - running Epoch:43, fl78Client4,avg_loss is 0.24820654028201405
2025-01-01 20:47:09 - running Epoch:44, fl78Client4,avg_loss is 0.18052845089873182
2025-01-01 20:47:10 - running Epoch:45, fl78Client4,avg_loss is 0.12434370976082887
2025-01-01 20:47:11 - running Epoch:46, fl78Client4,avg_loss is 0.10959685508963428
2025-01-01 20:47:12 - running Epoch:47, fl78Client4,avg_loss is 0.11281455506252337
2025-01-01 20:47:13 - running Epoch:48, fl78Client4,avg_loss is 0.10085931722121903
2025-01-01 20:47:14 - running Epoch:49, fl78Client4,avg_loss is 0.06529768322936341
2025-01-01 20:47:15 - running Epoch:50, fl78Client4,avg_loss is 0.05756614925457707
2025-01-01 20:47:16 - running Epoch:51, fl78Client4,avg_loss is 0.04581781100670371
2025-01-01 20:47:18 - running Epoch:52, fl78Client4,avg_loss is 0.059040521306893495
2025-01-01 20:47:19 - running Epoch:53, fl78Client4,avg_loss is 0.25129954804536664
2025-01-01 20:47:20 - running Epoch:54, fl78Client4,avg_loss is 0.12014227629273752
2025-01-01 20:47:21 - running Epoch:55, fl78Client4,avg_loss is 0.041728391583207285
2025-01-01 20:47:22 - running Epoch:56, fl78Client4,avg_loss is 0.03177921966755692
2025-01-01 20:47:23 - running Epoch:57, fl78Client4,avg_loss is 0.023684221873932248
2025-01-01 20:47:24 - running Epoch:58, fl78Client4,avg_loss is 0.015637007170604376
2025-01-01 20:47:25 - running Epoch:59, fl78Client4,avg_loss is 0.012869039682311867
2025-01-01 20:47:26 - running Epoch:60, fl78Client4,avg_loss is 0.011318806134447267
2025-01-01 20:47:27 - running Epoch:61, fl78Client4,avg_loss is 0.010293220004797736
2025-01-01 20:47:28 - running Epoch:62, fl78Client4,avg_loss is 0.008432886507244238
2025-01-01 20:47:29 - running Epoch:63, fl78Client4,avg_loss is 0.007470794275544489
2025-01-01 20:47:30 - After train, fl0Client4 gNB_test Accuracy  59.96 %
2025-01-01 20:47:30 - After train, fl0Client4 Test Accuracy  59.9 %
2025-01-01 20:47:31 - Before train, fl0Client1 gNB_test Accuracy  8.41 %
2025-01-01 20:47:32 - Before train, fl0Client1 client_test Accuracy  8.1 %
2025-01-01 20:47:33 - running Epoch:0, fl78Client1,avg_loss is 2.2388452578194533
2025-01-01 20:47:34 - running Epoch:1, fl78Client1,avg_loss is 2.106103198437751
